title,authors,original_publication_year
The Picture of Dorian Gray,"Oscar Wilde, Jeffrey Eugenides",1891
"Fifty Shades Freed (Fifty Shades, #3)",E.L. James,2012
Dracula,"Bram Stoker, Nina Auerbach, David J. Skal",1897
"The Girl Who Played with Fire (Millennium, #2)","Stieg Larsson, Reg Keeland",2006
"Fifty Shades Darker (Fifty Shades, #2)",E.L. James,2011
The Poisonwood Bible,Barbara Kingsolver,1998
Me Talk Pretty One Day,David Sedaris,2000
Where the Wild Things Are,Maurice Sendak,1963
The Count of Monte Cristo,"Alexandre Dumas, Robin Buss",1844
The Road,Cormac McCarthy,2006
"Allegiant (Divergent, #3)",Veronica Roth,2013
Bossypants,Tina Fey,2011
A Walk to Remember,Nicholas Sparks,1999
"Confessions of a Shopaholic (Shopaholic, #1)",Sophie Kinsella,2000
Les Misérables,"Victor Hugo, Lee Fahnestock, Norman MacAfee",1862
"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,1998
The Memory Keeper's Daughter,Kim Edwards,2005
"Me Before You (Me Before You, #1)",Jojo Moyes,2012
Catch-22,Joseph Heller,1961
Tuesdays with Morrie,"Mitch Albom, Saulius Dagys",1997
Middlesex,Jeffrey Eugenides,2002
The Adventures of Tom Sawyer,"Mark Twain, Guy Cardwell, John Seelye",1876
"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",Madeleine L'Engle,1962
The Joy Luck Club,Amy Tan,1989
The Handmaid's Tale,Margaret Atwood,1985
"The Sisterhood of the Traveling Pants (Sisterhood, #1)",Ann Brashares,2001
Lolita,"Vladimir Nabokov, Craig Raine",1955
"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)","Gregory Maguire, Douglas Smith",1995
"The Firm (Penguin Readers, Level 5)",John Grisham,1991
Room,Emma Donoghue,2010
Hamlet,"William Shakespeare, Richard Andrews, Rex Gibson",1600
Dune (Dune Chronicles #1),Frank Herbert,1965
The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,2000
Steve Jobs,Walter Isaacson,2011
One Flew Over the Cuckoo's Nest,Ken Kesey,1962
The Old Man and the Sea,Ernest Hemingway,1952
The Grapes of Wrath,John Steinbeck,1939
The Five People You Meet in Heaven,Mitch Albom,2003
"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,1908
"City of Glass (The Mortal Instruments, #3)",Cassandra Clare,2009
"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,2000
Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells,1996
"Outlander (Outlander, #1)",Diana Gabaldon,1991
The Scarlet Letter,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",1850
"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",Ransom Riggs,2011
"The Girl Who Kicked the Hornet's Nest (Millennium, #3)","Stieg Larsson, Reg Keeland",2007
The Martian,Andy Weir,2012
"The Pillars of the Earth (The Kingsbridge Series, #1)",Ken Follett,1989
All the Light We Cannot See,Anthony Doerr,2014
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,2010
Deception Point,Dan Brown,2001
The Goldfinch,Donna Tartt,2013
Thirteen Reasons Why,Jay Asher,2007
Girl with a Pearl Earring,Tracy Chevalier,1999
"If I Stay (If I Stay, #1)",Gayle Forman,2009
The Red Tent,Anita Diamant,1997
"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,2006
Dear John,Nicholas Sparks,2006
"City of Ashes (The Mortal Instruments, #2)",Cassandra Clare,2008
Macbeth,William Shakespeare,1606
"The Two Towers (The Lord of the Rings, #2)",J.R.R. Tolkien,1954
"Something Borrowed (Darcy & Rachel, #1)",Emily Giffin,2004
Green Eggs and Ham,"Dr. Seuss, לאה נאור",1960
"Charlie and the Chocolate Factory (Charlie Bucket, #1)","Roald Dahl, Quentin Blake",1964
"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",Rick Riordan,2008
Great Expectations,Charles Dickens,1860
"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,1955
The Stranger,"Albert Camus, Matthew    Ward",1942
"The Lost Hero (The Heroes of Olympus, #1)",Rick Riordan,2010
Eleanor & Park,Rainbow Rowell,2013
"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,2005
"Matched (Matched, #1)",Ally Condie,2010
"American Gods (American Gods, #1)",Neil Gaiman,2001
The Stand,"Stephen King, Bernie Wrightson",1978
The Last Song,Nicholas Sparks,2008
Digital Fortress,Dan Brown,1998
Emma,"Jane Austen, Fiona Stafford",1815
Anna Karenina,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",1877
A Clockwork Orange,Anthony Burgess,1962
The Shack,William Paul Young,2007
"The Last Olympian (Percy Jackson and the Olympians, #5)",Rick Riordan,2009
It,Stephen King,1986
Crime and Punishment,"Fyodor Dostoyevsky, David McDuff",1866
The Bell Jar,Sylvia Plath,1963
"Angela's Ashes (Frank McCourt, #1)",Frank McCourt,1996
Siddhartha,"Hermann Hesse, Hilda Rosner",1922
In Cold Blood,Truman Capote,1965
"Beautiful Creatures (Caster Chronicles, #1)","Kami Garcia, Margaret Stohl",2009
"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare,2010
Matilda,"Roald Dahl, Quentin Blake",1988
The Night Circus,Erin Morgenstern,2011
"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",Philippa Gregory,2001
"Uglies (Uglies, #1)",Scott Westerfeld,2005
"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,2011
"The Lord of the Rings (The Lord of the Rings, #1-3)",J.R.R. Tolkien,1955
Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,2012
Watchmen,"Alan Moore, Dave Gibbons, John Higgins",1987
"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,2007
Outliers: The Story of Success,Malcolm Gladwell,2008
"Moby-Dick or, The Whale","Herman Melville, Andrew Delbanco, Tom Quirk",1851
The Guernsey Literary and Potato Peel Pie Society,"Mary Ann Shaffer, Annie Barrows",2008
Fight Club,Chuck Palahniuk,1996
"Dead Until Dark (Sookie Stackhouse, #1)",Charlaine Harris,2001
The Color Purple,Alice Walker,1982
Marley and Me: Life and Love With the World's Worst Dog,John Grogan,2005
And Then There Were None,Agatha Christie,1939
"The Lost Symbol (Robert Langdon, #3)",Dan Brown,2009
"Hush, Hush (Hush, Hush, #1)",Becca Fitzpatrick,2009
"Beautiful Disaster (Beautiful, #1)",Jamie McGuire,2011
A Christmas Carol,Charles Dickens,1843
"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,1976
"The Selection (The Selection, #1)",Kiera Cass,2012
"One for the Money (Stephanie Plum, #1)",Janet Evanovich,1994
The Immortal Life of Henrietta Lacks,Rebecca Skloot,2010
"The Silence of the Lambs  (Hannibal Lecter, #2)",Thomas Harris,1988
"Vampire Academy (Vampire Academy, #1)",Richelle Mead,2007
Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,2005
Atonement,Ian McEwan,2001
The Metamorphosis,"Franz Kafka, Stanley Corngold",1915
"The Titan's Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,2007
Ready Player One,Ernest Cline,2011
The Art of Racing in the Rain,Garth Stein,2006
"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America","Erik Larson, Tony Goldwyn",2003
"Bared to You (Crossfire, #1)",Sylvia Day,2012
"The Chronicles of Narnia (Chronicles of Narnia, #1-7)","C.S. Lewis, Pauline Baynes",1956
Twilight: The Complete Illustrated Movie Companion,Mark Cotta Vaz,
"A Child Called ""It"" (Dave Pelzer #1)",Dave Pelzer,1995
"The Bourne Identity (Jason Bourne, #1)",Robert Ludlum,1980
"Artemis Fowl (Artemis Fowl, #1)",Eoin Colfer,2001
"Fallen (Fallen, #1)",Lauren Kate,2009
East of Eden,John Steinbeck,1952
Dark Places,Gillian Flynn,2009
The Client,John Grisham,1993
"The Nanny Diaries (Nanny, #1)","Emma McLaughlin, Nicola Kraus",2002
Alice's Adventures in Wonderland & Through the Looking-Glass,"Lewis Carroll, John Tenniel, Martin Gardner",1865
Persuasion,"Jane Austen, James Kinsley, Deidre Shauna Lynch",1817
Sarah's Key,Tatiana de Rosnay,2007
"The Gunslinger (The Dark Tower, #1)",Stephen King,1982
Love in the Time of Cholera,"Gabriel García Márquez, Edith Grossman",1985
Speak,Laurie Halse Anderson,1999
The Husband's Secret,Liane Moriarty,2013
Into Thin Air: A Personal Account of the Mount Everest Disaster,Jon Krakauer,1997
Carrie,Stephen King,1974
Running with Scissors,Augusten Burroughs,2002
World War Z: An Oral History of the Zombie War,Max Brooks,2006
"Inferno (Robert Langdon, #4)",Dan Brown,2013
Number the Stars,Lois Lowry,1989
"Along Came a Spider (Alex Cross, #1)",James Patterson,1993
Misery,Stephen King,1987
Sharp Objects,Gillian Flynn,2006
Bridge to Terabithia,Katherine Paterson,1977
"Marked (House of Night, #1)","P.C. Cast, Kristin Cast",2007
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,1989
A Midsummer Night's Dream,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey",1595
Extremely Loud and Incredibly Close,Jonathan Safran Foer,2005
Wonder,R.J. Palacio,2012
The Cat in the Hat,Dr. Seuss,1957
"Cinder (The Lunar Chronicles, #1)",Marissa Meyer,2012
"The Cuckoo's Calling (Cormoran Strike, #1)","Robert Galbraith, J.K. Rowling",2013
"Shiver (The Wolves of Mercy Falls, #1)",Maggie Stiefvater,2009
Atlas Shrugged,"Ayn Rand, Leonard Peikoff",1957
Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,"Greg Mortenson, David Oliver Relin",2006
Alice in Wonderland,"Jane Carruth, Lewis Carroll, Rene Cloke",1865
"The Shadow of the Wind (The Cemetery of Forgotten Books,  #1)","Carlos Ruiz Zafón, Lucia Graves",2001
"The Scorch Trials (Maze Runner, #2)",James Dashner,2010
How to Win Friends and Influence People,Dale Carnegie,1936
Under the Tuscan Sun,Frances Mayes,1996
Big Little Lies,Liane Moriarty,2014
Ella Enchanted,Gail Carson Levine,1997
The Sun Also Rises,Ernest Hemingway,1926
A Tree Grows in Brooklyn,Betty  Smith,1943
"Kiss the Girls (Alex Cross, #2)",James Patterson,1995
The Nightingale,Kristin Hannah,2015
Never Let Me Go,Kazuo Ishiguro,2005
P.S. I Love You,Cecelia Ahern,2003
Rebecca,"Daphne du Maurier, Sally Beauman",1938
Flowers for Algernon,Daniel Keyes,1966
Like Water for Chocolate,"Laura Esquivel, Thomas  Christensen, Carol Christensen",1989
Snow Flower and the Secret Fan,Lisa See,2005
The Godfather,"Mario Puzo, Robert Thompson, Peter Bart",1969
An Abundance of Katherines,John Green,2006
Foundation (Foundation #1),Isaac Asimov,1951
The Ocean at the End of the Lane,Neil Gaiman,2013
A Light in the Attic,Shel Silverstein,1981
"Harry Potter and the Cursed Child - Parts One and Two (Harry Potter, #8)","John Tiffany, Jack Thorne, J.K. Rowling",2016
"Delirium (Delirium, #1)",Lauren Oliver,2011
The Pelican Brief,John Grisham,1992
Coraline,Neil Gaiman,2002
"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch","Terry Pratchett, Neil Gaiman",1990
On the Road,Jack Kerouac,1955
"The Rosie Project (Don Tillman, #1)",Graeme Simsion,2013
The Lucky One,Nicholas Sparks,2008
The Fountainhead,"Ayn Rand, Leonard Peikoff",1943
"The Hunt for Red October (Jack Ryan Universe, #4)",Tom Clancy,1984
"Watership Down (Watership Down, #1)",Richard Adams,1972
Is Everyone Hanging Out Without Me? (And Other Concerns),Mindy Kaling,2011
Cutting for Stone,Abraham Verghese,2009
"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)","C.S. Lewis, Pauline Baynes",1951
Treasure Island,Robert Louis Stevenson,1882
"The Son of Neptune (The Heroes of Olympus, #2)",Rick Riordan,2011
11/22/63,Stephen King,2011
The Very Hungry Caterpillar Board Book,Eric Carle,1969
Cat's Cradle,Kurt Vonnegut Jr.,1963
The Time Machine,"H.G. Wells, Greg Bear, Carlo Pagetti",1895
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,"Todd Burpo, Lynn Vincent",2010
The Boy in the Striped Pajamas,John Boyne,2006
Heart of Darkness,Joseph Conrad,1899
Safe Haven,Nicholas Sparks,2010
"The Secret (The Secret, #1)",Rhonda Byrne,2006
I Know This Much Is True,Wally Lamb,1998
Pet Sematary,Stephen King,1983
She's Come Undone,Wally Lamb,1992
"The Wise Man's Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss,2011
Can You Keep a Secret?,Sophie Kinsella,2003
"City of Fallen Angels (The Mortal Instruments, #4)",Cassandra Clare,2011
"Good in Bed (Cannie Shapiro, #1)",Jennifer Weiner,2001
The Thorn Birds,Colleen McCullough,1977
The Graveyard Book,"Neil Gaiman, Dave McKean",2008
The Light Between Oceans,M.L. Stedman,2012
"Inkheart (Inkworld, #1)","Cornelia Funke, Anthea Bell",2003
Who Moved My Cheese?,"Spencer Johnson, Kenneth H. Blanchard",1998
A Walk in the Woods,Bill Bryson,1997
I Know Why the Caged Bird Sings,Maya Angelou,1969
Orphan Train,Christina Baker Kline,2013
"City of Lost Souls (The Mortal Instruments, #5)",Cassandra Clare,2012
"Where'd You Go, Bernadette",Maria Semple,2012
Where the Red Fern Grows,Wilson Rawls,1961
Neverwhere,Neil Gaiman,1996
The Unbearable Lightness of Being,"Milan Kundera, Michael Henry Heim",1984
Fangirl,Rainbow Rowell,2013
A Prayer for Owen Meany,John Irving,1989
White Oleander,Janet Fitch,1999
"Legend (Legend, #1)",Marie Lu,2011
Nineteen Minutes,Jodi Picoult,2007
The Last Lecture,"Randy Pausch, Jeffrey Zaslow",2008
"The Eye of the World (Wheel of Time, #1)",Robert Jordan,1990
The Pact,Jodi Picoult,1998
"The Magician's Nephew (Chronicles of Narnia, #6)",C.S. Lewis,1953
Still Alice,Lisa Genova,2007
"Reflected in You (Crossfire, #2)",Sylvia Day,2012
James and the Giant Peach,"Roald Dahl, Quentin Blake",1961
"1st to Die (Women's Murder Club, #1)",James Patterson,2001
The Ultimate Hitchhiker's Guide to the Galaxy,Douglas Adams,1996
One Day,David Nicholls,2009
Goodnight Moon,"Margaret Wise Brown, Clement Hurd",1947
"I Am Number Four (Lorien Legacies, #1)",Pittacus Lore,2010
The Iliad,"Homer, Robert Fagles, Frédéric Mugler, Bernard Knox",-750
The Casual Vacancy,J.K. Rowling,2012
The Runaway Jury,John Grisham,1996
Naked,David Sedaris,1997
"Eldest (The Inheritance Cycle, #2)",Christopher Paolini,2005
"The Wonderful Wizard of Oz (Oz, #1)","L. Frank Baum, W.W. Denslow",1900
"Prince Caspian (Chronicles of Narnia, #2)",C.S. Lewis,1951
We Were Liars,E. Lockhart,2014
'Salem's Lot,Stephen King,1975
Fear and Loathing in Las Vegas,"Hunter S. Thompson, Ralph Steadman",1971
"Clockwork Prince (The Infernal Devices, #2)",Cassandra Clare,2011
Yes Please,Amy Poehler,2014
Othello,William Shakespeare,1603
Beloved,Toni Morrison,1987
"Graceling (Graceling Realm, #1)",Kristin Cashore,2008
"The Bad Beginning (A Series of Unfortunate Events, #1)","Lemony Snicket, Brett Helquist",1999
All Quiet on the Western Front,"Erich Maria Remarque, A.W. Wheen",1929
"Oh, The Places You'll Go!",Dr. Seuss,1990
And the Mountains Echoed,Khaled Hosseini,2012
Do Androids Dream of Electric Sheep?,"Philip K. Dick, Roger Zelazny",1968
Oliver Twist,"Charles Dickens, George Cruikshank, Philip Horne",1838
The Screwtape Letters,C.S. Lewis,1942
"Anna and the French Kiss (Anna and the French Kiss, #1)",Stephanie Perkins,2010
How the Grinch Stole Christmas!,Dr. Seuss,1957
V for Vendetta,"Alan Moore, David   Lloyd",1990
John Adams,David McCullough,2001
"Odd Thomas (Odd Thomas, #1)",Dean Koontz,2003
"The Subtle Knife (His Dark Materials, #2)",Philip Pullman,1997
"Stargirl (Stargirl, #1)",Jerry Spinelli,2000
"The Red Pyramid (Kane Chronicles, #1)",Rick Riordan,2010
Stranger in a Strange Land,Robert A. Heinlein,1961
Dress Your Family in Corduroy and Denim,David Sedaris,2004
The BFG,"Roald Dahl, Quentin Blake",1982
A Short History of Nearly Everything,Bill Bryson,2003
The Call of the Wild,Jack London,1903
"The Death Cure (Maze Runner, #3)",James Dashner,2011
Stardust,Neil Gaiman,1999
The Namesake,Jhumpa Lahiri,2003
"A Discovery of Witches (All Souls Trilogy, #1)",Deborah Harkness,2011
Norwegian Wood,"Haruki Murakami, Jay Rubin",1987
Where the Heart Is,Billie Letts,1995
"Will Grayson, Will Grayson","John Green, David Levithan",2010
A Million Little Pieces,James Frey,2003
"Frostbite (Vampire Academy, #2)",Richelle Mead,2008
Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,2012
"Island of the Blue Dolphins (Island of the Blue Dolphins, #1)",Scott O'Dell,1960
The Crucible,"Arthur Miller, Christopher Bigsby",1953
"Hatchet (Brian's Saga, #1)",Gary Paulsen,1986
"The Final Empire (Mistborn, #1)",Brandon Sanderson,2006
The Strange Case of Dr. Jekyll and Mr. Hyde,"Robert Louis Stevenson, Vladimir Nabokov, Mervyn Peake, Dan Chaon",1886
The Lorax,Dr. Seuss,1971
"Diary of a Wimpy Kid (Diary of a Wimpy Kid, #1)",Jeff Kinney,2004
"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas,2012
"Shadow Kiss (Vampire Academy, #3)",Richelle Mead,2008
For Whom the Bell Tolls,Ernest Hemingway,1940
Hotel on the Corner of Bitter and Sweet,Jamie Ford,2009
Perfume: The Story of a Murderer,"Patrick Süskind, John E. Woods",1985
Fast Food Nation: The Dark Side of the All-American Meal,Eric Schlosser,2001
The Tales of Beedle the Bard,J.K. Rowling,2007
Neuromancer,William Gibson,1984
A Farewell to Arms,Ernest Hemingway,1929
The Tell-Tale Heart and Other Writings,Edgar Allan Poe,1843
The Art of War,"Sun Tzu, Thomas Cleary",-500
Defending Jacob,William Landay,2012
Breakfast of Champions,Kurt Vonnegut Jr.,1973
The New Drawing on the Right Side of the Brain,Betty Edwards,1979
Bel Canto,Ann Patchett,2001
"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,1997
Fried Green Tomatoes at the Whistle Stop Cafe,Fannie Flagg,1987
"Things Fall Apart (The African Trilogy, #1)",Chinua Achebe,1958
The Undomestic Goddess,Sophie Kinsella,2005
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Gary Chapman,1990
The Three Musketeers,Alexandre Dumas,1844
Little Bee,Chris Cleave,2008
"Evermore (The Immortals, #1)",Alyson Noel,2009
The Witches,"Roald Dahl, Quentin Blake",1983
The Thirteenth Tale,Diane Setterfield,2006
"Spirit Bound (Vampire Academy, #5)",Richelle Mead,2010
"Blood Promise (Vampire Academy, #4)",Richelle Mead,2009
Message in a Bottle,Nicholas Sparks,1998
The Paris Wife,Paula McLain,2011
"Harry Potter Boxset (Harry Potter, #1-7)",J.K. Rowling,1998
"The Elite (The Selection, #2)",Kiera Cass,2013
The Name of the Rose,"Umberto Eco, William Weaver, Seán Barrett",1980
Go Ask Alice,"Beatrice Sparks, Anonymous",1971
A Confederacy of Dunces,"John Kennedy Toole, Walker Percy",1980
The Importance of Being Earnest,Oscar Wilde,1895
"The Mark of Athena (The Heroes of Olympus, #3)",Rick Riordan,2012
"The Color of Magic (Discworld, #1; Rincewind #1)",Terry Pratchett,1983
Kafka on the Shore,"Haruki Murakami, Philip Gabriel",2002
"Red Dragon (Hannibal Lecter, #1)",Thomas Harris,1981
"I, Robot (Robot #0.1)",Isaac Asimov,1950
"Dark Lover (Black Dagger Brotherhood, #1)",J.R. Ward,2005
"Crescendo (Hush, Hush, #2)",Becca Fitzpatrick,2010
Before I Fall,Lauren Oliver,2010
The God of Small Things,Arundhati Roy,1997
The Invention of Wings,Sue Monk Kidd,2014
What Alice Forgot,Liane Moriarty,2009
A Brief History of Time,"Stephen Hawking, Cao Chi, Phạm Văn Thiều",1987
"Fall of Giants (The Century Trilogy, #1)",Ken Follett,2010
Under the Dome,Stephen King,2009
Snow Crash,Neal Stephenson,1992
Just Listen,Sarah Dessen,2006
"Winnie-the-Pooh (Winnie-the-Pooh, #1)","A.A. Milne, Ernest H. Shepard",1926
Before I Go to Sleep,S.J. Watson,2011
A Study in Scarlet,Arthur Conan Doyle,1887
"Brisingr (The Inheritance Cycle, #3)",Christopher Paolini,2008
The Purpose Driven Life: What on Earth Am I Here for?,Rick Warren,2002
"Betrayed (House of Night, #2)","P.C. Cast, Kristin Cast",2007
"Storm Front (The Dresden Files, #1)",Jim Butcher,2000
Northanger Abbey,"Jane Austen, Alfred MacAdam",1817
"The 5th Wave (The 5th Wave, #1)",Rick Yancey,2013
Cold Mountain,Charles Frazier,1997
If You Give a Mouse a Cookie,"Laura Joffe Numeroff, Felicia Bond",1985
"Something Blue (Darcy & Rachel, #2)",Emily Giffin,2005
A Streetcar Named Desire,Tennessee Williams,1947
The Historian,Elizabeth Kostova,2005
Station Eleven,Emily St. John Mandel,2014
A Man Called Ove,"Fredrik Backman, Henning Koch",2012
"Clockwork Princess (The Infernal Devices, #3)",Cassandra Clare,2013
"The Good Earth (House of Earth, #1)",Pearl S. Buck,1931
Ways of Seeing,John Berger,1972
"Dragonfly in Amber (Outlander, #2)",Diana Gabaldon,1992
Holy Bible: King James Version,Anonymous,1611
In Her Shoes,Jennifer Weiner,2002
The Hobbit: Graphic Novel,"Chuck Dixon, J.R.R. Tolkien, David Wenzel, Sean Deming",1989
The Brief Wondrous Life of Oscar Wao,Junot Díaz,2007
Their Eyes Were Watching God,Zora Neale Hurston,1937
Fantastic Beasts and Where to Find Them,"Newt Scamander, J.K. Rowling, Albus Dumbledore",2001
